cycle,branch,state,forecastdate,candidate,win_prob_lite,win_prob_classic,win_prob_deluxe
2020,Senate,AK-S2,11/3/2020,Dan Sullivan,0.700175,0.70995,0.7701
2020,Senate,AK-S2,11/2/2020,Dan Sullivan,0.702775,0.7135,0.7715
2020,Senate,AK-S2,11/1/2020,Dan Sullivan,0.6994,0.708325,0.762525
2020,Senate,AK-S2,10/31/2020,Dan Sullivan,0.694825,0.70075,0.75625
2020,Senate,AK-S2,10/30/2020,Dan Sullivan,0.694375,0.6973,0.75315
2020,Senate,AK-S2,10/29/2020,Dan Sullivan,0.691875,0.694875,0.75105
2020,Senate,AK-S2,10/28/2020,Dan Sullivan,0.7084,0.705425,0.757525
2020,Senate,AK-S2,10/27/2020,Dan Sullivan,0.718675,0.7231,0.791475
2020,Senate,AK-S2,10/26/2020,Dan Sullivan,0.720925,0.72065,0.789275
2020,Senate,AK-S2,10/25/2020,Dan Sullivan,0.72235,0.725025,0.791425
2020,Senate,AK-S2,10/24/2020,Dan Sullivan,0.725075,0.726775,0.79295
2020,Senate,AK-S2,10/23/2020,Dan Sullivan,0.727275,0.736,0.8003
2020,Senate,AK-S2,10/22/2020,Dan Sullivan,0.6963,0.7098,0.78135
2020,Senate,AK-S2,10/21/2020,Dan Sullivan,0.6925,0.706425,0.777175
2020,Senate,AK-S2,10/20/2020,Dan Sullivan,0.665075,0.681925,0.7632
2020,Senate,AK-S2,10/19/2020,Dan Sullivan,0.665625,0.685575,0.76455
2020,Senate,AK-S2,10/18/2020,Dan Sullivan,0.66825,0.6878,0.766775
2020,Senate,AK-S2,10/17/2020,Dan Sullivan,0.710325,0.721125,0.786175
2020,Senate,AK-S2,10/16/2020,Dan Sullivan,0.707625,0.7485,0.79735
2020,Senate,AK-S2,10/15/2020,Dan Sullivan,0.637775,0.713775,0.770925
2020,Senate,AK-S2,10/14/2020,Dan Sullivan,0.6297,0.71515,0.769
2020,Senate,AK-S2,10/13/2020,Dan Sullivan,0.63505,0.72245,0.776025
2020,Senate,AK-S2,10/12/2020,Dan Sullivan,0.63845,0.724425,0.794
2020,Senate,AK-S2,10/11/2020,Dan Sullivan,0.638425,0.72335,0.792675
2020,Senate,AK-S2,10/10/2020,Dan Sullivan,0.639425,0.7245,0.7954
2020,Senate,AK-S2,10/9/2020,Dan Sullivan,0.63815,0.7241,0.7939
2020,Senate,AK-S2,10/8/2020,Dan Sullivan,0.638775,0.7236,0.797025
2020,Senate,AK-S2,10/7/2020,Dan Sullivan,0.641725,0.7251,0.7963
2020,Senate,AK-S2,10/6/2020,Dan Sullivan,0.638875,0.725225,0.795075
2020,Senate,AK-S2,10/5/2020,Dan Sullivan,0.727475,0.7905,0.837925
2020,Senate,AK-S2,10/4/2020,Dan Sullivan,0.719275,0.781875,0.831925
2020,Senate,AK-S2,10/3/2020,Dan Sullivan,0.71935,0.78255,0.833125
2020,Senate,AK-S2,10/2/2020,Dan Sullivan,0.721125,0.785475,0.83475
2020,Senate,AK-S2,10/1/2020,Dan Sullivan,0.7199,0.7809,0.8432
